type	latitude	longitude	name	desc
T	32.878320000	-117.239290000		
T	32.878270000	-117.239290000		
T	32.878230000	-117.239290000		
T	32.878190000	-117.239250000		
T	32.878170000	-117.239210000		
T	32.878150000	-117.239130000		
T	32.878150000	-117.239070000		
T	32.878160000	-117.238990000		
T	32.878170000	-117.238930000		
T	32.878160000	-117.238870000		
T	32.878140000	-117.238820000		
T	32.877550000	-117.238890000		
T	32.877500000	-117.238940000		
T	32.877470000	-117.239120000		
T	32.877470000	-117.239420000		
T	32.877470000	-117.239120000		
T	32.877500000	-117.238940000		
T	32.877550000	-117.238890000		
T	32.877490000	-117.238690000		
T	32.877460000	-117.238530000		
T	32.877430000	-117.238230000		
T	32.877470000	-117.237890000		
T	32.877560000	-117.237540000		
T	32.877440000	-117.237420000		
T	32.877420000	-117.237370000		
T	32.877420000	-117.237370000		
T	32.877420000	-117.237370000		
T	32.877440000	-117.237420000		
T	32.877560000	-117.237540000		
T	32.878150000	-117.237540000		
T	32.878160000	-117.237540000		
T	32.878560000	-117.237540000		
T	32.879030000	-117.237550000		
T	32.879190000	-117.236550000		
T	32.879200000	-117.236460000		
T	32.879250000	-117.236130000		
T	32.879260000	-117.236090000		
T	32.879310000	-117.235710000		
T	32.879320000	-117.235630000		
T	32.879330000	-117.235550000		
T	32.879360000	-117.235380000		
T	32.879400000	-117.235090000		
T	32.879400000	-117.235070000		
T	32.879400000	-117.235050000		
T	32.879460000	-117.234610000		
T	32.879520000	-117.234620000		
T	32.879700000	-117.234630000		
T	32.879840000	-117.234670000		
T	32.880050000	-117.234710000		
T	32.880110000	-117.234730000		
T	32.880190000	-117.234730000		
T	32.880330000	-117.234730000		
T	32.880500000	-117.234740000		
T	32.880800000	-117.234750000		
T	32.880950000	-117.234760000		
T	32.880960000	-117.234760000		
T	32.880960000	-117.235160000		
T	32.881310000	-117.235160000		
T	32.881310000	-117.234620000		
T	32.881530000	-117.234630000		
T	32.881630000	-117.234630000		
T	32.881760000	-117.234740000		
T	32.882040000	-117.235070000		
T	32.882290000	-117.234760000		
T	32.882300000	-117.234730000		
T	32.881790000	-117.234120000		
T	32.881870000	-117.233870000		
T	32.881900000	-117.233820000		
T	32.881900000	-117.233810000		
T	32.881900000	-117.233820000		
T	32.881950000	-117.233890000		
T	32.881990000	-117.234000000		
T	32.882110000	-117.234330000		
T	32.882370000	-117.234500000		
T	32.882400000	-117.234540000		
T	32.882750000	-117.234950000		
T	32.882950000	-117.235090000		
T	32.882820000	-117.235720000		
T	32.882880000	-117.235740000		
T	32.882880000	-117.235800000		
T	32.882950000	-117.235810000		
T	32.882980000	-117.235770000		
T	32.883060000	-117.235380000		
T	32.883160000	-117.235290000		
T	32.883320000	-117.235100000		
T	32.883420000	-117.234980000		
T	32.883510000	-117.234870000		
T	32.883530000	-117.234860000		
